season,week,season_type,player_id,team,player_name,player_display_name,position,position_group,headshot_url,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_att,gwfg_distance,gwfg_made,gwfg_missed,gwfg_blocked
2024,1,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",2,2,0,0,31,1,0,1,1,0,0,0,0,0,0,0,0,0,29;31,,,60,0,0,2,2,0,0,1,0,,,,
2024,2,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",2,2,0,0,57,1,0,0,0,1,1,0,0,0,0,0,0,0,48;57,,,105,0,0,5,5,0,0,1,0,,,,
2024,3,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",2,2,0,0,45,1,0,0,0,2,0,0,0,0,0,0,0,0,42;45,,,87,0,0,1,1,0,0,1,0,,,,
2024,4,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",,0,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,1,0,,,,
2024,1,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",1,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,40,,,40,0,0,2,2,0,0,1,0,,,,
2024,2,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",1,1,0,0,41,1,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,2,2,0,0,1,0,,,,
2024,3,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",,0,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,1,0,,,,
2024,4,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",5,5,0,0,53,1,0,1,0,1,3,0,0,0,0,0,0,0,53;52;47;51;29,,,232,0,0,2,2,0,0,1,0,,,,
2024,6,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",1,1,0,0,44,1,0,0,0,1,0,0,0,0,0,0,0,0,44,,,44,0,0,2,2,0,0,1,0,,,,
2024,7,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",1,1,0,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,25,,,25,0,0,1,1,0,0,1,0,,,,
2024,8,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",,0,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,1,0,,,,
2024,9,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",2,2,0,0,25,1,0,2,0,0,0,0,0,0,0,0,0,0,21;25,,,46,0,0,2,2,0,0,1,1,25,1,0,0
2024,10,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",1,2,1,0,27,0.5,0,1,0,0,0,0,0,0,0,1,0,0,27,49,,27,49,0,2,2,0,0,1,0,,,,
2024,11,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",2,2,0,0,43,1,0,0,1,1,0,0,0,0,0,0,0,0,30;43,,,73,0,0,1,1,0,0,1,0,,,,
2024,12,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",3,3,0,0,56,1,0,0,0,0,3,0,0,0,0,0,0,0,51;56;51,,,158,0,0,3,3,0,0,1,0,,,,
2024,1,REG,00-0026858,NYG,G.Gano,Graham Gano,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sarpl2zavybbmmowpkwz",2,2,0,0,50,1,0,1,0,0,1,0,0,0,0,0,0,0,23;50,,,73,0,0,,0,,,,0,,,,
2024,10,REG,00-0026858,NYG,G.Gano,Graham Gano,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sarpl2zavybbmmowpkwz",1,2,1,0,42,0.5,0,0,0,1,0,0,0,0,0,1,0,0,42,43,,42,43,0,2,2,0,0,1,0,,,,
2024,12,REG,00-0026858,NYG,G.Gano,Graham Gano,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sarpl2zavybbmmowpkwz",,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,,,,
2024,1,REG,00-0029597,BAL,J.Tucker,Justin Tucker,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",2,3,1,0,32,0.667,0,1,1,0,0,0,0,0,0,0,1,0,25;32,53,,57,53,0,2,2,0,0,1,0,,,,
2024,2,REG,00-0029597,BAL,J.Tucker,Justin Tucker,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",3,4,1,0,48,0.75,0,0,1,2,0,0,0,0,0,0,1,0,48;42;32,56,,122,56,0,2,2,0,0,1,0,,,,
2024,3,REG,00-0029597,BAL,J.Tucker,Justin Tucker,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",0,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,,46,,0,46,0,4,4,0,0,1,0,,,,
2024,4,REG,00-0029597,BAL,J.Tucker,Justin Tucker,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",,0,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,1,0,,,,
2024,5,REG,00-0029597,BAL,J.Tucker,Justin Tucker,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",2,2,0,0,56,1,0,1,0,0,1,0,0,0,0,0,0,0,56;24,,,80,0,0,5,5,0,0,1,1,24,1,0,0
2024,6,REG,00-0029597,BAL,J.Tucker,Justin Tucker,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",3,3,0,0,45,1,0,0,2,1,0,0,0,0,0,0,0,0,45;32;39,,,116,0,0,3,3,0,0,1,0,,,,
2024,7,REG,00-0029597,BAL,J.Tucker,Justin Tucker,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",2,2,0,0,52,1,0,1,0,0,1,0,0,0,0,0,0,0,28;52,,,80,0,0,5,5,0,0,1,0,,,,
2024,8,REG,00-0029597,BAL,J.Tucker,Justin Tucker,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",1,2,1,0,49,0.5,0,0,0,1,0,0,0,0,0,0,1,0,49,50,,49,50,0,3,3,0,0,1,0,,,,
2024,9,REG,00-0029597,BAL,J.Tucker,Justin Tucker,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",2,2,0,0,37,1,0,0,2,0,0,0,0,0,0,0,0,0,33;37,,,70,0,0,5,5,0,0,1,0,,,,
2024,10,REG,00-0029597,BAL,J.Tucker,Justin Tucker,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thawkkxcbyuddwuidgb0",,0,,,,,,,,,,,,,,,,,,,,,,,3,4,1,0,0.75,0,,,,
